Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cloud9_phase0_4T,coop_pythia,0.15295,0.15533,0.18257,0.18721,170079,94899,3739,12662,143479,82552,2464,8168,229773,120133,260,32353,224880,117647,260,30338,1
cloud9_phase1_4T,coop_pythia,0.17977,0.18086,0.18173,0.15083,647885,296714,26028,37580,348101,170713,649,73771,446376,227623,330,49945,359015,184350,12549,47495,1
cloud9_phase2_4T,coop_pythia,0.15104,0.18458,0.1533,0.18599,355720,182987,8645,44126,717889,253409,95390,83322,339886,173468,8386,42449,325193,156952,1146,52374,1
cloud9_phase3_4T,coop_pythia,0.18695,0.15336,0.16556,0.18275,952933,402305,53980,50216,490442,231247,12655,81778,437261,197197,13244,59161,435184,216058,493,70701,1
cloud9_phase4_4T,coop_pythia,0.15415,0.15437,0.21801,0.17742,152464,93772,3220,7030,132170,78672,3247,4625,116454,51808,3650,4819,228673,123767,514,30128,1
cloud9_phase5_4T,coop_pythia,0.19071,0.179,0.1749,0.17177,278508,111763,16568,32567,341907,157640,5835,64334,1326724,614130,24373,80460,424771,198567,4248,49679,1
