Benchmark,Exp,Core,Covered,Overpredicted,Uncovered,Level
streaming,ppf,0,869761,2805681,3537463,L2C
streaming,nopref,0,0,0,1595369,L2C
streaming,spp,0,97399,18215,1583971,L2C
streaming,bingo,0,795268,83908,893857,L2C
streaming,mlop,0,368294,264124,1458468,L2C
streaming,pythia,0,762946,812241,1771842,L2C
streaming,dspatch,0,1178847,8013005,7762982,L2C
streaming,ppf,0,1038875,2698475,3449980,L2C
streaming,coop_pythia,0,571515,627708,1698619,L2C
streaming,coop_pythia,0,429208,396736,1271457,L2C
streaming,coop_pythia,0,423511,377674,1218493,L2C
streaming,coop_pythia,0,473260,515172,1530198,L2C
streaming,coop_pythia,0,397646,410836,1391425,L2C
streaming,coop_pythia,0,510335,501354,1675024,L2C
cloud9,nopref,0,0,0,917515,L2C
cloud9,spp,0,272340,5416,649745,L2C
cloud9,bingo,0,570654,114685,432250,L2C
cloud9,mlop,0,80203,44887,860583,L2C
cloud9,pythia,0,637247,422347,619060,L2C
cloud9,dspatch,0,776317,1741864,1500338,L2C
cloud9,ppf,0,706772,249512,425864,L2C
cloud9,nopref,0,0,0,827629,L2C
cloud9,spp,0,70971,2680,758958,L2C
cloud9,bingo,0,238473,218382,709464,L2C
cloud9,mlop,0,82052,45071,793464,L2C
cloud9,pythia,0,408093,1058582,991078,L2C
cloud9,dspatch,0,543716,5840669,3132327,L2C
cloud9,ppf,0,359868,585332,798391,L2C
cloud9,nopref,0,0,0,922371,L2C
cloud9,spp,0,265865,5574,661538,L2C
cloud9,bingo,0,575743,129181,447787,L2C
cloud9,mlop,0,97649,44343,851154,L2C
cloud9,pythia,0,633235,417221,629782,L2C
cloud9,dspatch,0,818572,1566494,1334813,L2C
cloud9,ppf,0,697835,249590,444901,L2C
cloud9,nopref,0,0,0,1138597,L2C
cloud9,spp,0,39538,3944,1092175,L2C
cloud9,bingo,0,207915,326405,1118574,L2C
cloud9,mlop,0,41780,28346,1121772,L2C
cloud9,pythia,0,521273,1338866,1523582,L2C
cloud9,dspatch,0,543534,7285994,5144292,L2C
cloud9,ppf,0,352735,882369,1379549,L2C
cloud9,nopref,0,0,0,935619,L2C
cloud9,spp,0,268400,6811,673971,L2C
cloud9,bingo,0,566679,120372,463339,L2C
cloud9,mlop,0,97817,48873,864714,L2C
cloud9,pythia,0,638974,438458,656755,L2C
cloud9,dspatch,0,819710,1806646,1569318,L2C
cloud9,ppf,0,705723,250258,449351,L2C
cloud9,nopref,0,0,0,274566,L2C
cloud9,spp,0,1045,365,276083,L2C
cloud9,bingo,0,45762,40923,261246,L2C
cloud9,mlop,0,787,3079,275669,L2C
cloud9,pythia,0,107226,220548,353275,L2C
cloud9,dspatch,0,135605,1223798,1088658,L2C
cloud9,ppf,0,54585,156080,356586,L2C
cloud9,coop_pythia,0,379204,338366,815598,L2C
cloud9,coop_pythia,0,338655,935251,1147603,L2C
cloud9,coop_pythia,0,373628,330475,826289,L2C
cloud9,coop_pythia,0,433210,1191147,1456710,L2C
cloud9,coop_pythia,0,388483,335420,824503,L2C
cloud9,coop_pythia,0,98515,185436,323756,L2C
