Trace,Exp,Core_0_IPC,Core_1_IPC,Core_2_IPC,Core_3_IPC,Core_0_LLC_total_miss,Core_0_LLC_load_miss,Core_0_LLC_RFO_miss,Core_0_LLC_writeback_miss,Core_1_LLC_total_miss,Core_1_LLC_load_miss,Core_1_LLC_RFO_miss,Core_1_LLC_writeback_miss,Core_2_LLC_total_miss,Core_2_LLC_load_miss,Core_2_LLC_RFO_miss,Core_2_LLC_writeback_miss,Core_3_LLC_total_miss,Core_3_LLC_load_miss,Core_3_LLC_RFO_miss,Core_3_LLC_writeback_miss,Filter
cassandra_phase3_4T,mlop,0.32773,0.31646,0.31512,0.31614,3850866,479540,84558,63099,4036642,490893,98526,73245,4037779,507550,107506,79867,4332247,529796,114614,92917,1
cassandra_phase3_4T,pythia,0.34252,0.33198,0.32998,0.33238,1494136,382633,81182,146508,1411803,368360,88785,159893,1540341,414903,98891,161720,1447941,398489,100076,182510,1
cassandra_phase3_4T,imp_pythia,0.34326,0.33224,0.3303,0.33216,1559216,383200,81113,144088,1462922,368199,90910,156781,1582085,407576,97836,159095,1507662,400215,100971,183181,1
cassandra_phase3_4T,dspatch,0.32594,0.31646,0.31518,0.31978,2426821,572572,90461,116653,2369239,577929,104964,134063,2533877,621299,114352,140817,2409953,599933,116980,160221,1
cassandra_phase3_4T,ppf,0.34276,0.33123,0.32906,0.33071,1984869,365058,84243,141940,1995339,361726,94484,153772,2046444,395029,105179,169317,2024222,396914,109937,181505,1
cassandra_phase4_4T,nopref,0.27786,0.25197,0.29664,0.28516,1111802,768355,144215,199232,1396725,1080363,137520,178842,1001537,709165,111749,180623,1080612,777172,116864,186576,1
cassandra_phase4_4T,spp,0.28343,0.26652,0.30578,0.29675,1333048,530136,149777,80509,1581522,619359,140137,68654,1234733,470694,118390,65814,1309391,485447,124571,68829,1
cassandra_phase4_4T,bingo,0.28813,0.26528,0.30397,0.29472,1609628,454374,147124,132161,1927266,584837,142212,148304,1482586,454148,115374,126430,1567759,472905,122933,124678,1
cassandra_phase4_4T,mlop,0.28008,0.26417,0.30226,0.29294,3826793,488740,142704,111177,3868081,506643,132949,96911,3655166,445036,114388,89133,3876021,464527,120047,102129,1
cassandra_phase4_4T,pythia,0.28982,0.27094,0.31211,0.30222,1471544,386163,138661,186964,1792850,473367,133178,170273,1349055,358300,109359,176515,1424582,381995,115203,183784,1
cassandra_phase4_4T,imp_pythia,0.28994,0.27105,0.31231,0.30272,1540275,385630,138737,187388,1906844,471040,131301,162746,1378636,343699,111012,176886,1430827,360610,114347,182660,1
cassandra_phase4_4T,dspatch,0.2795,0.25996,0.29979,0.29007,2662877,581299,146140,147790,2849653,705124,138865,123876,2277737,537345,117737,143337,2306470,561621,121912,156806,1
cassandra_phase4_4T,ppf,0.28959,0.27156,0.3118,0.30202,1955405,372072,141252,191445,2260831,415390,134241,164588,1804363,340156,110542,177590,1886696,358851,116408,182756,1
cassandra_phase5_4T,nopref,0.36398,0.32042,0.3564,0.34253,987523,767936,63124,156463,1066838,822071,91649,153118,1009266,771545,83181,154540,1051873,809988,80773,161112,1
cassandra_phase5_4T,spp,0.37914,0.33409,0.36934,0.35721,1360401,524985,75445,31311,1443178,549718,109822,35852,1353922,541073,93956,38813,1350358,547291,92027,36318,1
cassandra_phase5_4T,bingo,0.37565,0.33081,0.36721,0.35487,1434118,494181,73576,89594,1486877,545489,107152,95522,1445052,503902,92292,94243,1455698,518915,89803,93537,1
cassandra_phase5_4T,mlop,0.36566,0.32297,0.35787,0.34621,4459891,531744,72530,61094,4536689,553056,108117,71218,4421378,534916,90175,71656,4407352,542832,87705,71696,1
cassandra_phase5_4T,pythia,0.3909,0.34381,0.38173,0.36904,1371334,366986,64294,150120,1459777,391571,89650,142493,1423370,376827,82225,156984,1427118,378677,79955,153397,1
cassandra_phase5_4T,imp_pythia,0.39085,0.34415,0.38175,0.36929,1410465,372732,64900,150675,1502156,390715,88598,145572,1456007,381699,83137,152065,1464108,381755,81518,151366,1
cassandra_phase5_4T,dspatch,0.36693,0.32463,0.36182,0.34924,2322902,610660,75129,136427,2616853,635141,110919,123711,2409776,599965,93278,130630,2432564,604804,90649,128619,1
cassandra_phase5_4T,ppf,0.38779,0.34123,0.37887,0.3674,1987283,385167,69701,153467,2058291,401716,102344,150232,2029783,393018,88018,159553,2052495,385808,85937,153219,1
