*************************************************
   ChampSim Multicore Out-of-Order Simulator
   Last compiled: Apr 16 2025 08:14:40
*************************************************
parsing config file: /pref/Pythia/config/coop_pythia.ini

trace_0 /pref/Pythia/NUTCH/traces/nutch_phase3_core0.trace.xz
trace_1 /pref/Pythia/NUTCH/traces/nutch_phase3_core1.trace.xz
trace_2 /pref/Pythia/NUTCH/traces/nutch_phase3_core2.trace.xz
trace_3 /pref/Pythia/NUTCH/traces/nutch_phase3_core3.trace.xz
CPU 0 Bimodal branch predictor
CPU 1 Bimodal branch predictor
CPU 2 Bimodal branch predictor
CPU 3 Bimodal branch predictor
warmup_instructions 50000000
simulation_instructions 150000000
champsim_seed 7162
measure_ipc 0
measure_ipc_epoch 1000
measure_dram_bw 1
measure_dram_bw_epoch 256
measure_cache_acc 1
measure_cache_acc_epoch 1024
l1d_perfect 0
l2c_perfect 0
llc_perfect 0
l1d_semi_perfect 0
l2c_semi_perfect 0
llc_semi_perfect 0
semi_perfect_cache_page_buffer_size 64

num_cpus 4
cpu_freq 4000
dram_io_freq 2400
page_size 4096
block_size 64
max_read_per_cycle 8
max_fill_per_cycle 1
dram_channels 2
log2_dram_channels 1
dram_ranks 1
dram_banks 8
dram_rows 65536
dram_columns 128
dram_row_size 8
dram_size 8192
dram_pages 2097152
======= Prefetcher Knob Settings =======
coop_enable_multicore: 1
coop_enable_bw_throttling: 1
coop_rl_enable: 1
coop_rl_ipc_threshold: 
coop_rl_alpha_high_ipc: 0.1
coop_rl_alpha_low_ipc: 0.02
coop_rl_bw_threshold: 2
========================================
fetch_width 6
decode_width 6
exec_width 4
lq_width 2
sq_width 2
retire_width 4
scheduler_size 128
branch_mispredict_penalty 20
rob_size 256
lq_size 72
sq_size 56
num_instr_destinations_sparc 4
num_instr_destinations 2
num_instr_sources 4

itlb_set 16
itlb_way 8
itlb_rq_size 16
itlb_wq_size 16
itlb_pq_size 0
itlb_mshr_size 8
itlb_latency 1

dtlb_set 16
dtlb_way 4
dtlb_rq_size 16
dtlb_wq_size 16
dtlb_pq_size 0
dtlb_mshr_size 8
dtlb_latency 1

stlb_set 128
stlb_way 12
stlb_rq_size 32
stlb_wq_size 32
stlb_pq_size 0
stlb_mshr_size 16
stlb_latency 8

l1i_size 32
l1i_set 64
l1i_way 8
l1i_rq_size 64
l1i_wq_size 64
l1i_pq_size 8
l1i_mshr_size 8
l1i_latency 1

l1d_size 32
l1d_set 64
l1d_way 8
l1d_rq_size 64
l1d_wq_size 64
l1d_pq_size 16
l1d_mshr_size 16
l1d_latency 4

l2c_size 256
l2c_set 512
l2c_way 8
l2c_rq_size 64
l2c_wq_size 32
l2c_pq_size 64
l2c_mshr_size 64
l2c_latency 10

llc_size 8192
llc_set 8192
llc_way 16
llc_rq_size 256
llc_wq_size 256
llc_pq_size 128
llc_mshr_size 256
llc_latency 20

dram_channel_width 8
dram_wq_size 64
dram_rq_size 64
tRP 15
tRCD 15
tCAS 12.5
dram_dbus_turn_around_time 30
dram_write_high_wm 56
dram_write_low_wm 48
min_dram_writes_per_switch 16
dram_mtps 2400
dram_dbus_return_time 13

[CoopPythia Config]
 - Bandwidth-aware throttling: Enabled
 - Multicore cooperation: Enabled
 - RL Enabled: Yes
 - Adaptive Alpha: Enabled
 - IPC Threshold: 5
 - BW Threshold: 2
 - Alpha High: 0.1
 - Alpha Low: 0.02

Heartbeat CPU  2 instructions:    1000001 cycles:     594132 heartbeat IPC: 1.68313 cumulative IPC: 1.68313 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  0 instructions:    1000001 cycles:     613268 heartbeat IPC: 1.63061 cumulative IPC: 1.63061 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  1 instructions:    1000002 cycles:     641412 heartbeat IPC: 1.55906 cumulative IPC: 1.55906 (Simulation time: 0 hr 0 min 4 sec) 
Heartbeat CPU  3 instructions:    1000000 cycles:     713585 heartbeat IPC: 1.40137 cumulative IPC: 1.40137 (Simulation time: 0 hr 0 min 5 sec) 
Heartbeat CPU  0 instructions:    2000000 cycles:    1223012 heartbeat IPC: 1.64003 cumulative IPC: 1.63531 (Simulation time: 0 hr 0 min 8 sec) 
Heartbeat CPU  1 instructions:    2000003 cycles:    1277332 heartbeat IPC: 1.57253 cumulative IPC: 1.56577 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  3 instructions:    2000003 cycles:    1367392 heartbeat IPC: 1.52951 cumulative IPC: 1.46264 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  2 instructions:    2000003 cycles:    1369892 heartbeat IPC: 1.28906 cumulative IPC: 1.45997 (Simulation time: 0 hr 0 min 9 sec) 
Heartbeat CPU  0 instructions:    3000000 cycles:    1824426 heartbeat IPC: 1.66275 cumulative IPC: 1.64435 (Simulation time: 0 hr 0 min 13 sec) 
Heartbeat CPU  2 instructions:    3000003 cycles:    1879079 heartbeat IPC: 1.96391 cumulative IPC: 1.59653 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  1 instructions:    3000001 cycles:    1880159 heartbeat IPC: 1.65885 cumulative IPC: 1.59561 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  3 instructions:    3000001 cycles:    1916466 heartbeat IPC: 1.82124 cumulative IPC: 1.56538 (Simulation time: 0 hr 0 min 14 sec) 
Heartbeat CPU  0 instructions:    4000000 cycles:    2443126 heartbeat IPC: 1.61629 cumulative IPC: 1.63725 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  2 instructions:    4000000 cycles:    2474588 heartbeat IPC: 1.67923 cumulative IPC: 1.61643 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  1 instructions:    4000000 cycles:    2475451 heartbeat IPC: 1.67985 cumulative IPC: 1.61587 (Simulation time: 0 hr 0 min 18 sec) 
Heartbeat CPU  3 instructions:    4000000 cycles:    2686475 heartbeat IPC: 1.29868 cumulative IPC: 1.48894 (Simulation time: 0 hr 0 min 19 sec) 
Heartbeat CPU  0 instructions:    5000002 cycles:    3054307 heartbeat IPC: 1.63618 cumulative IPC: 1.63703 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  2 instructions:    5000001 cycles:    3080555 heartbeat IPC: 1.65026 cumulative IPC: 1.62308 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  1 instructions:    5000000 cycles:    3089142 heartbeat IPC: 1.62948 cumulative IPC: 1.61857 (Simulation time: 0 hr 0 min 22 sec) 
Heartbeat CPU  3 instructions:    5000002 cycles:    3239994 heartbeat IPC: 1.80663 cumulative IPC: 1.54321 (Simulation time: 0 hr 0 min 24 sec) 
Heartbeat CPU  2 instructions:    6000000 cycles:    3619832 heartbeat IPC: 1.85433 cumulative IPC: 1.65754 (Simulation time: 0 hr 0 min 26 sec) 
Heartbeat CPU  1 instructions:    6000002 cycles:    3678711 heartbeat IPC: 1.69616 cumulative IPC: 1.63101 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  0 instructions:    6000000 cycles:    3743952 heartbeat IPC: 1.45002 cumulative IPC: 1.60258 (Simulation time: 0 hr 0 min 27 sec) 
Heartbeat CPU  3 instructions:    6000001 cycles:    3823000 heartbeat IPC: 1.71525 cumulative IPC: 1.56945 (Simulation time: 0 hr 0 min 28 sec) 
Heartbeat CPU  2 instructions:    7000003 cycles:    4193684 heartbeat IPC: 1.74261 cumulative IPC: 1.66918 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  0 instructions:    7000001 cycles:    4267020 heartbeat IPC: 1.91180 cumulative IPC: 1.64049 (Simulation time: 0 hr 0 min 31 sec) 
Heartbeat CPU  1 instructions:    7000002 cycles:    4308533 heartbeat IPC: 1.58775 cumulative IPC: 1.62468 (Simulation time: 0 hr 0 min 32 sec) 
Heartbeat CPU  3 instructions:    7000003 cycles:    4429628 heartbeat IPC: 1.64846 cumulative IPC: 1.58027 (Simulation time: 0 hr 0 min 33 sec) 
Heartbeat CPU  2 instructions:    8000000 cycles:    4785665 heartbeat IPC: 1.68924 cumulative IPC: 1.67166 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  0 instructions:    8000000 cycles:    4852765 heartbeat IPC: 1.70723 cumulative IPC: 1.64854 (Simulation time: 0 hr 0 min 35 sec) 
Heartbeat CPU  1 instructions:    8000000 cycles:    4913795 heartbeat IPC: 1.65217 cumulative IPC: 1.62807 (Simulation time: 0 hr 0 min 36 sec) 
Heartbeat CPU  3 instructions:    8000000 cycles:    5192297 heartbeat IPC: 1.31118 cumulative IPC: 1.54074 (Simulation time: 0 hr 0 min 38 sec) 
Heartbeat CPU  2 instructions:    9000000 cycles:    5382058 heartbeat IPC: 1.67675 cumulative IPC: 1.67222 (Simulation time: 0 hr 0 min 39 sec) 
Heartbeat CPU  0 instructions:    9000000 cycles:    5456497 heartbeat IPC: 1.65636 cumulative IPC: 1.64941 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  1 instructions:    9000001 cycles:    5513741 heartbeat IPC: 1.66682 cumulative IPC: 1.63229 (Simulation time: 0 hr 0 min 40 sec) 
Heartbeat CPU  3 instructions:    9000003 cycles:    5689853 heartbeat IPC: 2.00983 cumulative IPC: 1.58176 (Simulation time: 0 hr 0 min 42 sec) 
Heartbeat CPU  2 instructions:   10000000 cycles:    5979389 heartbeat IPC: 1.67411 cumulative IPC: 1.67241 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  0 instructions:   10000001 cycles:    6063159 heartbeat IPC: 1.64837 cumulative IPC: 1.64931 (Simulation time: 0 hr 0 min 44 sec) 
Heartbeat CPU  1 instructions:   10000001 cycles:    6118766 heartbeat IPC: 1.65282 cumulative IPC: 1.63432 (Simulation time: 0 hr 0 min 45 sec) 
Heartbeat CPU  3 instructions:   10000001 cycles:    6291515 heartbeat IPC: 1.66206 cumulative IPC: 1.58944 (Simulation time: 0 hr 0 min 46 sec) 
Heartbeat CPU  2 instructions:   11000003 cycles:    6577437 heartbeat IPC: 1.67211 cumulative IPC: 1.67238 (Simulation time: 0 hr 0 min 48 sec) 
Heartbeat CPU  0 instructions:   11000000 cycles:    6669534 heartbeat IPC: 1.64914 cumulative IPC: 1.64929 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  1 instructions:   11000002 cycles:    6731020 heartbeat IPC: 1.63331 cumulative IPC: 1.63423 (Simulation time: 0 hr 0 min 49 sec) 
Heartbeat CPU  3 instructions:   11000001 cycles:    6890068 heartbeat IPC: 1.67070 cumulative IPC: 1.59650 (Simulation time: 0 hr 0 min 50 sec) 
Heartbeat CPU  2 instructions:   12000000 cycles:    7202294 heartbeat IPC: 1.60036 cumulative IPC: 1.66614 (Simulation time: 0 hr 0 min 53 sec) 
Heartbeat CPU  1 instructions:   12000000 cycles:    7248381 heartbeat IPC: 1.93288 cumulative IPC: 1.65554 (Simulation time: 0 hr 0 min 53 sec) 
